Time,Hari 1 - FO,Hari 2 - FO,Hari 3 - FO,Hari 1 - Wireless,Hari 2  - Wireless,Hari 3  - Wireless
2023-07-07 9:13:20,24.22,,,29.45,,
2023-07-07 9:13:23,26.68,,,31.05,,
2023-07-07 9:13:25,26.64,,,40.97,,
2023-07-07 9:13:28,24.39,,,50.76,,
2023-07-07 9:13:30,63.69,,,29.82,,
2023-07-07 9:13:33,24.4,,,32.07,,
2023-07-07 9:13:35,24.78,,,33.01,,
2023-07-07 9:13:38,,,,30.64,,
2023-07-07 9:13:40,25.1,,,64.35,,
2023-07-07 9:13:43,25.91,,,47.12,,
2023-07-07 9:13:45,26.43,,,40.83,,
2023-07-07 9:13:48,24.93,,,39.79,,
2023-07-07 9:13:50,24.22,,,55.56,,
2023-07-07 9:13:53,26.64,,,27.6,,
2023-07-07 9:13:55,27.78,,,42.86,,
2023-07-07 9:13:58,28.27,,,56.27,,
2023-07-07 9:14:00,24.7,,,31.03,,
2023-07-07 9:14:03,73.47,,,29.22,,
2023-07-07 9:14:05,25.37,,,46.22,,
2023-07-07 9:14:08,31.26,,,33.11,,
2023-07-07 9:14:10,109.15,,,57.2,,
2023-07-07 9:14:13,,,,35.25,,
2023-07-07 9:14:15,46.6,,,38.3,,
2023-07-07 9:14:18,101.89,,,57.42,,
2023-07-07 9:14:20,24.96,,,42.66,,
2023-07-07 9:14:23,25.97,,,43.29,,
2023-07-07 9:14:25,28.24,,,44.94,,
2023-07-07 9:14:28,25.35,,,35.28,,
2023-07-07 9:14:30,24.16,,,28.5,,
2023-07-07 9:14:33,24.89,,,27.49,,
2023-07-07 9:14:35,25.23,,,46.53,,
2023-07-07 9:14:38,25.18,,,46.86,,
2023-07-07 9:14:40,27.34,,,51.66,,
2023-07-07 9:14:43,30.76,,,35.82,,
2023-07-07 9:14:45,25.19,,,33.02,,
2023-07-07 9:14:48,68.16,,,45.7,,
2023-07-07 9:14:50,28.43,,,32.54,,
2023-07-07 9:14:53,28.6,,,51.05,,
2023-07-07 9:14:55,25.27,,,29.47,,
2023-07-07 9:14:58,27.63,,,33.02,,
2023-07-07 9:15:00,33.87,,,48.85,,
2023-07-07 9:15:03,25.44,,,40.62,,
2023-07-07 9:15:05,31.81,,,32,,
2023-07-07 9:15:08,30.4,,,36.17,,
2023-07-07 9:15:10,24.98,,,31.68,,
2023-07-07 9:15:13,24.88,,,34.66,,
2023-07-07 9:15:15,32.44,,,,,
2023-07-07 9:15:18,25.86,,,,,
2023-07-07 9:15:20,115.93,,,,,
2023-07-07 9:15:23,36.5,,,,,
2023-07-07 9:15:25,38.37,,,,,
2023-07-07 9:15:28,27.36,,,,,
2023-07-07 9:15:30,26.29,,,,,
2023-07-07 9:15:33,26.59,,,,,
2023-07-07 9:15:36,62,,,,,
2023-07-07 9:15:38,35,,,,,
2023-07-07 9:15:41,36.09,,,,,
2023-07-07 9:15:43,30.9,,,,,
2023-07-07 9:15:46,30,,,,,
2023-07-07 9:15:48,42,,,,,
2023-07-07 9:15:51,24.38,,,,,
2023-07-07 9:15:53,29.61,,,,,
2023-07-07 9:15:56,24.9,,,,,
2023-07-07 9:15:58,38.95,,,,,
2023-07-07 9:16:01,25.3,,,,,
2023-07-07 9:16:03,25.69,,,,,
2023-07-07 9:16:06,26.25,,,,,
2023-07-07 9:16:08,26.78,,,,,
2023-07-07 9:16:11,25.23,,,,,
2023-07-07 9:16:13,24.71,,,,,
2023-07-07 9:16:16,24.61,,,,,
2023-07-07 9:16:18,24.31,,,,,
2023-07-07 9:16:21,61,,,,,
2023-07-07 9:16:23,24.56,,,,,
2023-07-07 9:16:26,56.15,,,,,
2023-07-07 9:16:28,24.59,,,,,
2023-07-07 9:16:31,27.66,,,,,
2023-07-07 9:16:33,24.83,,,,,
2023-07-07 9:16:36,26.27,,,,,
2023-07-07 9:16:38,108.39,,,,,
2023-07-07 9:16:41,25.13,,,,,
2023-07-07 9:16:43,24,,,,,
2023-07-07 9:16:46,24.92,,,,,
2023-07-07 9:16:48,305.37,,,,,
2023-07-07 9:16:51,24.97,,,,,
2023-07-07 9:16:53,27.33,,,,,
2023-07-07 9:16:56,26.06,,,,,
2023-07-07 9:16:58,26.59,,,,,
2023-07-07 9:17:01,24.45,,,,,
2023-07-07 9:17:03,24.6,,,,,
2023-07-07 9:17:06,24.21,,,,,
2023-07-07 9:17:08,24.19,,,,,
2023-07-07 9:17:11,25.45,,,,,
2023-07-07 9:17:13,42.96,,,,,
2023-07-07 9:17:16,24.91,,,,,
2023-07-07 9:17:18,47.52,,,,,
2023-07-07 9:17:21,39.07,,,,,
2023-07-07 9:17:23,24.5,,,,,
2023-07-07 9:17:26,24.69,,,,,
2023-07-07 9:17:28,24.71,,,,,
2023-07-07 9:17:31,26.49,,,,,
2023-07-07 9:17:33,25.78,,,,,
2023-07-07 9:17:36,65.83,,,,,
2023-07-07 9:17:38,26.5,,,,,
2023-07-07 9:17:41,37.94,,,,,
2023-07-07 9:17:43,25.52,,,,,
2023-07-07 9:17:46,24.57,,,,,
2023-07-07 9:17:48,93.26,,,,,
2023-07-07 9:17:51,36.37,,,,,
2023-07-07 9:17:53,33.36,,,,,
2023-07-07 9:17:56,25.94,,,,,
2023-07-07 9:17:58,25.19,,,,,
2023-07-07 9:18:01,25.41,,,,,
2023-07-07 9:18:03,26.54,,,,,
2023-07-07 9:18:06,24.07,,,,,
2023-07-07 9:18:08,114.04,,,,,
2023-07-07 9:18:11,29.83,,,,,
2023-07-07 9:18:13,25.85,,,,,
